XDATA	YDATA	
0.00059988	0.0425
0.00119976	0.0112
0.00179964	0.0025
0.00239952	0.005
0.0029994	0.015
0.00359928	0.0112
0.00419916	-0.0125
0.00479904	-0.0313
0.00539892	-0.0037
0.0059988	0.0112
0.00659868	0.015
0.00719856	-0.0112
0.00779844	-0.0262
0.00839832	-0.0238
0.0089982	-0.01
0.00959808	0.0125
0.01019796	0.0125
0.01079784	-0.0025
0.01139772	-0.0075
0.0119976	-0.0013
0.012597481	0.0125
0.013197361	0.015
0.013797241	0.02
0.014397121	0.0325
0.014997001	0.0413
0.015596881	0.0438
0.016196761	0.0325
0.016796641	0.0187
0.017396521	0.0075
0.017996401	0.0125
0.018596281	0.0225
0.019196161	0.0262
0.019796041	0.0275
0.020395921	0.02
0.020995801	0.0063
0.021595681	-0.0063
0.022195561	-0.015
0.022795441	-0.0125
0.023395321	-0.0025
0.023995201	0.0037
0.024595081	0.0213
0.025194961	0.03
0.025794841	0.0262
0.026394721	-0.005
0.026994601	-0.0325
0.027594481	-0.0375
0.028194361	-0.01
0.028794241	0.0325
0.029394121	0.0425
0.029994001	0.0313
0.030593881	0.0063
0.031193761	0
0.031793641	0.0138
0.032393521	0.04
0.032993401	0.0762
0.033593281	0.08
0.034193161	0.045
0.034793041	0.0125
0.035392921	0.025
0.035992801	0.035
0.036592681	0.04
0.037192561	0.0288
0.037792442	0.0275
0.038392322	0.0187
0.038992202	0.01
0.039592082	0.0238
0.040191962	0.0262
0.040791842	0.0175
0.041391722	0.0175
0.041991602	0.0225
0.042591482	0
0.043191362	0.0063
0.043791242	0.01
0.044391122	0
0.044991002	-0.0262
0.045590882	-0.0325
0.046190762	-0.0013
0.046790642	0.0475
0.047390522	0.0675
0.047990402	0.0362
0.048590282	-0.0262
0.049190162	-0.0362
0.049790042	-0.01
0.050389922	0.0238
0.050989802	0.0413
0.051589682	0.0475
0.052189562	0.025
0.052789442	0
0.053389322	-0.0262
0.053989202	-0.0413
0.054589082	0
0.055188962	0.055
0.055788842	0.0575
0.056388722	0.04
0.056988602	0.0125
0.057588482	0.005
0.058188362	-0.0075
0.058788242	-0.0025
0.059388122	0.0175
0.059988002	0.0313
0.060587882	0.045
0.061187762	0.0425
0.061787642	0
0.062387522	-0.0262
0.062987403	-0.0275
0.063587283	0.03
0.064187163	0.05
0.064787043	0.0563
0.065386923	0.0462
0.065986803	0.02
0.066586683	-0.01
0.067186563	-0.0037
0.067786443	0.035
0.068386323	0.07
0.068986203	0.07
0.069586083	0.0475
0.070185963	0.0275
0.070785843	0.015
0.071385723	0
0.071985603	-0.0138
